Date,Visitor,G,Home,G,,Att.,LOG,Notes
2023-10-22,Boston Bruins,3,Anaheim Ducks,1,,14264,2:26,
2023-10-22,Calgary Flames,2,Detroit Red Wings,6,,17626,2:26,
2023-10-23,Montreal Canadiens,3,Buffalo Sabres,1,,13507,2:22,
2023-10-24,Anaheim Ducks,3,Columbus Blue Jackets,2,OT,16432,2:28,
2023-10-24,New York Rangers,3,Calgary Flames,1,,16800,2:25,
2023-10-24,Boston Bruins,3,Chicago Blackhawks,0,,19370,2:36,
2023-10-24,Seattle Kraken,5,Detroit Red Wings,4,OT,16894,2:40,
2023-10-24,San Jose Sharks,1,Florida Panthers,3,,16142,2:24,
2023-10-24,Arizona Coyotes,3,Los Angeles Kings,6,,17668,2:42,
2023-10-24,Edmonton Oilers,4,Minnesota Wild,7,,17064,2:30,
2023-10-24,New Jersey Devils,5,Montreal Canadiens,2,,21105,2:32,
2023-10-24,Vancouver Canucks,3,Nashville Predators,2,,17159,2:17,
2023-10-24,Colorado Avalanche,7,New York Islanders,4,,14856,2:31,
2023-10-24,Buffalo Sabres,6,Ottawa Senators,4,,14278,2:38,
2023-10-24,Dallas Stars,4,Pittsburgh Penguins,1,,17209,2:29,
2023-10-24,Carolina Hurricanes,0,Tampa Bay Lightning,3,,19092,2:27,
2023-10-24,Philadelphia Flyers,2,Vegas Golden Knights,3,,17717,2:31,
2023-10-24,St. Louis Blues,2,Winnipeg Jets,4,,11136,2:21,
2023-10-24,Toronto Maple Leafs,4,Washington Capitals,1,,16641,2:20,
2023-10-25,Washington Capitals,6,New Jersey Devils,4,,16117,2:23,
2023-10-26,Anaheim Ducks,4,Boston Bruins,3,OT,17850,2:44,
2023-10-26,Seattle Kraken,2,Carolina Hurricanes,3,OT,18780,2:38,
2023-10-26,St. Louis Blues,3,Calgary Flames,0,,16897,2:26,
2023-10-26,Toronto Maple Leafs,4,Dallas Stars,1,,18532,2:21,
2023-10-26,Winnipeg Jets,4,Detroit Red Wings,1,,17857,2:25,
2023-10-26,New York Rangers,3,Edmonton Oilers,0,,17939,2:26,
2023-10-26,Columbus Blue Jackets,3,Montreal Canadiens,4,OT,21105,2:35,
2023-10-26,Ottawa Senators,2,New York Islanders,3,,14911,2:37,
2023-10-26,Minnesota Wild,2,Philadelphia Flyers,6,,17144,2:30,
2023-10-26,Colorado Avalanche,0,Pittsburgh Penguins,4,,17154,2:26,
2023-10-26,San Jose Sharks,0,Tampa Bay Lightning,6,,19092,2:23,
2023-10-27,Los Angeles Kings,5,Arizona Coyotes,4,,4600,2:37,
2023-10-27,San Jose Sharks,0,Carolina Hurricanes,3,,18700,2:37,
2023-10-27,Buffalo Sabres,4,New Jersey Devils,5,,16514,2:30,
2023-10-27,St. Louis Blues,0,Vancouver Canucks,5,,18548,2:23,
2023-10-27,Chicago Blackhawks,4,Vegas Golden Knights,3,OT,18338,2:27,
2023-10-27,Minnesota Wild,2,Washington Capitals,3,SO,16602,2:45,
2023-10-28,Detroit Red Wings,1,Boston Bruins,4,,17850,2:25,
2023-10-28,New York Islanders,2,Columbus Blue Jackets,0,,15424,2:13,
2023-10-28,Seattle Kraken,2,Florida Panthers,3,,16780,2:33,
2023-10-28,Vegas Golden Knights,4,Los Angeles Kings,3,SO,18145,2:38,
2023-10-28,Winnipeg Jets,3,Montreal Canadiens,4,SO,21105,2:41,
2023-10-28,Toronto Maple Leafs,2,Nashville Predators,3,OT,17537,2:31,
2023-10-28,Anaheim Ducks,7,Philadelphia Flyers,4,,18275,2:33,
2023-10-28,Ottawa Senators,5,Pittsburgh Penguins,2,,17631,2:29,
2023-10-28,New York Rangers,4,Vancouver Canucks,3,OT,18483,2:31,
2023-10-29,Colorado Avalanche,0,Buffalo Sabres,4,,15717,2:25,
2023-10-29,Calgary Flames,2,Edmonton Oilers,5,,55411,2:37,at Commonwealth Stadium (Edmonton AB)
2023-10-29,Minnesota Wild,3,New Jersey Devils,4,,16514,2:25,
2023-10-29,San Jose Sharks,1,Washington Capitals,3,,15856,2:26,
2023-10-30,Chicago Blackhawks,1,Arizona Coyotes,8,,4600,2:31,
2023-10-30,Florida Panthers,2,Boston Bruins,3,OT,17850,2:36,
2023-10-30,Columbus Blue Jackets,3,Dallas Stars,5,,18532,2:22,
2023-10-30,Detroit Red Wings,4,New York Islanders,3,OT,15407,2:35,
2023-10-30,Carolina Hurricanes,3,Philadelphia Flyers,2,,15569,2:27,
2023-10-30,Anaheim Ducks,4,Pittsburgh Penguins,3,,16903,2:34,
2023-10-30,Seattle Kraken,4,Tampa Bay Lightning,3,OT,19092,2:30,
2023-10-30,Montreal Canadiens,2,Vegas Golden Knights,3,SO,17791,2:43,
2023-10-30,New York Rangers,3,Winnipeg Jets,2,OT,11898,2:29,
2023-10-31,Los Angeles Kings,4,Toronto Maple Leafs,1,,18531,2:20,
2023-10-31,Nashville Predators,2,Vancouver Canucks,5,,18413,2:23,
2023-11-01,Arizona Coyotes,3,Anaheim Ducks,4,OT,14894,2:37,
2023-11-01,Dallas Stars,4,Calgary Flames,3,,16786,2:32,
2023-11-01,St. Louis Blues,1,Colorado Avalanche,4,,18091,2:31,
2023-11-01,Buffalo Sabres,5,Philadelphia Flyers,2,,17279,2:30,
2023-11-02,Montreal Canadiens,2,Arizona Coyotes,3,,4600,2:33,
2023-11-02,Toronto Maple Leafs,2,Boston Bruins,3,SO,17850,2:36,
2023-11-02,Tampa Bay Lightning,2,Columbus Blue Jackets,4,,14276,2:32,
2023-11-02,Florida Panthers,2,Detroit Red Wings,0,,17233,2:27,
2023-11-02,Dallas Stars,4,Edmonton Oilers,3,,17290,2:32,
2023-11-02,New Jersey Devils,5,Minnesota Wild,3,,18399,2:24,
2023-11-02,Carolina Hurricanes,1,New York Rangers,2,,18006,2:31,
2023-11-02,Los Angeles Kings,3,Ottawa Senators,2,,16216,2:24,
2023-11-02,Nashville Predators,2,Seattle Kraken,4,,17151,2:24,
2023-11-02,Vancouver Canucks,10,San Jose Sharks,1,,10719,2:32,
2023-11-02,Winnipeg Jets,2,Vegas Golden Knights,5,,17878,2:27,
2023-11-02,New York Islanders,3,Washington Capitals,0,,16209,2:23,
2023-11-03,Philadelphia Flyers,5,Buffalo Sabres,1,,16612,2:12,
2023-11-03,New Jersey Devils,1,St. Louis Blues,4,,18096,2:24,
2023-11-04,Winnipeg Jets,5,Arizona Coyotes,3,,4600,2:19,
2023-11-04,Florida Panthers,2,Chicago Blackhawks,5,,18666,2:22,
2023-11-04,Boston Bruins,4,Detroit Red Wings,5,,18676,2:40,
2023-11-04,Nashville Predators,5,Edmonton Oilers,2,,18354,2:28,
2023-11-04,New York Rangers,4,Minnesota Wild,5,SO,18678,2:38,
2023-11-04,Carolina Hurricanes,4,New York Islanders,3,OT,17255,2:31,
2023-11-04,Tampa Bay Lightning,6,Ottawa Senators,4,,17387,2:36,
2023-11-04,Los Angeles Kings,5,Philadelphia Flyers,0,,18304,2:24,
2023-11-04,Calgary Flames,6,Seattle Kraken,3,,17151,2:19,
2023-11-04,Pittsburgh Penguins,10,San Jose Sharks,2,,17435,2:28,
2023-11-04,Montreal Canadiens,3,St. Louis Blues,6,,18096,2:29,
2023-11-04,Buffalo Sabres,6,Toronto Maple Leafs,4,,18902,2:28,
2023-11-04,Dallas Stars,0,Vancouver Canucks,2,,18895,2:25,
2023-11-04,Colorado Avalanche,0,Vegas Golden Knights,7,,18512,2:40,
2023-11-04,Columbus Blue Jackets,1,Washington Capitals,2,,18573,2:30,
2023-11-05,Vegas Golden Knights,2,Anaheim Ducks,4,,15720,2:22,
2023-11-05,New Jersey Devils,4,Chicago Blackhawks,2,,18388,2:31,
2023-11-06,Boston Bruins,3,Dallas Stars,2,,18532,2:37,
2023-11-06,Columbus Blue Jackets,4,Florida Panthers,5,OT,17103,2:27,
2023-11-06,Tampa Bay Lightning,5,Toronto Maple Leafs,6,OT,18445,2:30,
2023-11-06,Edmonton Oilers,2,Vancouver Canucks,6,,18857,2:44,
2023-11-07,Pittsburgh Penguins,2,Anaheim Ducks,0,,16043,2:32,
2023-11-07,Seattle Kraken,3,Arizona Coyotes,4,SO,4600,2:40,
2023-11-07,Buffalo Sabres,2,Carolina Hurricanes,3,OT,18700,2:25,
2023-11-07,Nashville Predators,2,Calgary Flames,4,,16975,2:29,
2023-11-07,New Jersey Devils,3,Colorado Avalanche,6,,18087,2:38,
2023-11-07,Tampa Bay Lightning,5,Montreal Canadiens,3,,21105,2:32,
2023-11-07,Minnesota Wild,4,New York Islanders,2,,13527,2:30,
2023-11-07,Detroit Red Wings,3,New York Rangers,5,,18006,2:25,
2023-11-07,Philadelphia Flyers,1,San Jose Sharks,2,,10074,2:31,
2023-11-07,Winnipeg Jets,5,St. Louis Blues,2,,18096,2:24,
2023-11-08,Ottawa Senators,6,Toronto Maple Leafs,3,,18372,2:20,
2023-11-08,Los Angeles Kings,4,Vegas Golden Knights,1,,18330,2:27,
2023-11-08,Florida Panthers,4,Washington Capitals,3,OT,16104,2:30,
2023-11-09,New York Islanders,2,Boston Bruins,5,,17850,2:24,
2023-11-09,Dallas Stars,5,Columbus Blue Jackets,2,,15253,2:25,
2023-11-09,Seattle Kraken,4,Colorado Avalanche,3,,18124,2:29,
2023-11-09,Montreal Canadiens,3,Detroit Red Wings,2,OT,18504,2:40,
2023-11-09,Pittsburgh Penguins,4,Los Angeles Kings,3,OT,18145,2:31,
2023-11-09,Minnesota Wild,1,New York Rangers,4,,18006,2:23,
2023-11-09,Vancouver Canucks,5,Ottawa Senators,2,,16653,2:22,
2023-11-09,Edmonton Oilers,2,San Jose Sharks,3,,12206,2:26,
2023-11-09,Arizona Coyotes,1,St. Louis Blues,2,,18096,2:36,
2023-11-09,Chicago Blackhawks,5,Tampa Bay Lightning,3,,19092,2:32,
2023-11-09,Nashville Predators,3,Winnipeg Jets,6,,12199,2:30,
2023-11-10,Philadelphia Flyers,6,Anaheim Ducks,3,,15550,2:32,
2023-11-10,Minnesota Wild,2,Buffalo Sabres,3,,17031,2:26,
2023-11-10,Carolina Hurricanes,2,Florida Panthers,5,,17845,2:33,
2023-11-10,Washington Capitals,4,New Jersey Devils,2,,16514,2:26,
2023-11-10,Calgary Flames,4,Toronto Maple Leafs,5,SO,18939,2:38,
2023-11-10,San Jose Sharks,0,Vegas Golden Knights,5,,18423,2:27,
2023-11-11,St. Louis Blues,8,Colorado Avalanche,2,,18132,2:34,
2023-11-11,Columbus Blue Jackets,4,Detroit Red Wings,5,,19156,2:27,
2023-11-11,Philadelphia Flyers,4,Los Angeles Kings,2,,18145,2:25,
2023-11-11,Boston Bruins,2,Montreal Canadiens,3,OT,21105,2:28,
2023-11-11,Arizona Coyotes,7,Nashville Predators,5,,17303,2:24,
2023-11-11,Washington Capitals,4,New York Islanders,1,,16519,2:20,
2023-11-11,Calgary Flames,1,Ottawa Senators,4,,18874,2:26,
2023-11-11,Buffalo Sabres,0,Pittsburgh Penguins,4,,18429,2:16,
2023-11-11,Edmonton Oilers,4,Seattle Kraken,1,,17151,2:31,
2023-11-11,Carolina Hurricanes,4,Tampa Bay Lightning,0,,19092,2:28,
2023-11-11,Vancouver Canucks,2,Toronto Maple Leafs,5,,19107,2:26,
2023-11-11,Dallas Stars,3,Winnipeg Jets,2,,12420,2:28,
2023-11-12,San Jose Sharks,1,Anaheim Ducks,4,,16471,2:29,
2023-11-12,Chicago Blackhawks,3,Florida Panthers,4,,19359,2:26,
2023-11-12,Dallas Stars,8,Minnesota Wild,3,,18509,2:33,
2023-11-12,Vancouver Canucks,5,Montreal Canadiens,2,,21105,2:19,
2023-11-12,Columbus Blue Jackets,3,New York Rangers,4,SO,18006,2:55,
2023-11-13,New York Islanders,1,Edmonton Oilers,4,,17881,2:40,
2023-11-13,Colorado Avalanche,5,Seattle Kraken,1,,17151,2:37,
2023-11-14,Boston Bruins,5,Buffalo Sabres,2,,14840,2:21,
2023-11-14,Pittsburgh Penguins,5,Columbus Blue Jackets,3,,16596,2:23,
2023-11-14,Arizona Coyotes,3,Dallas Stars,4,OT,18532,2:31,
2023-11-14,Calgary Flames,2,Montreal Canadiens,1,,21105,2:29,
2023-11-14,Anaheim Ducks,3,Nashville Predators,2,,17159,2:30,
2023-11-14,Florida Panthers,5,San Jose Sharks,3,,10108,2:35,
2023-11-14,Tampa Bay Lightning,0,St. Louis Blues,5,,17621,2:25,
2023-11-14,New Jersey Devils,3,Winnipeg Jets,6,,11717,2:29,
2023-11-14,Vegas Golden Knights,0,Washington Capitals,3,,16598,2:34,
2023-11-15,Philadelphia Flyers,3,Carolina Hurricanes,1,,18700,2:32,
2023-11-15,Anaheim Ducks,2,Colorado Avalanche,8,,18029,2:32,
2023-11-15,Seattle Kraken,3,Edmonton Oilers,4,OT,18347,2:40,
2023-11-15,New York Islanders,3,Vancouver Canucks,4,OT,18972,2:42,
2023-11-16,Arizona Coyotes,3,Columbus Blue Jackets,2,,15909,2:28,
2023-11-16,Vancouver Canucks,2,Calgary Flames,5,,17501,2:33,
2023-11-16,Tampa Bay Lightning,4,Chicago Blackhawks,2,,18691,2:34,
2023-11-16,Florida Panthers,1,Los Angeles Kings,2,,17243,2:29,
2023-11-16,Vegas Golden Knights,6,Montreal Canadiens,5,,21105,2:39,
2023-11-16,Detroit Red Wings,4,Ottawa Senators,5,OT,12487,2:48,at (Stockholm SE)
2023-11-16,New Jersey Devils,5,Pittsburgh Penguins,2,,18321,2:24,
2023-11-16,New York Islanders,3,Seattle Kraken,4,SO,17151,2:46,
2023-11-16,St. Louis Blues,1,San Jose Sharks,5,,10452,2:31,
2023-11-17,Florida Panthers,2,Anaheim Ducks,1,,14932,2:42,
2023-11-17,Toronto Maple Leafs,3,Detroit Red Wings,2,,13510,2:40,at (Stockholm SE)
2023-11-17,Buffalo Sabres,2,Winnipeg Jets,3,,11340,2:21,
2023-11-18,Montreal Canadiens,2,Boston Bruins,5,,17850,2:29,
2023-11-18,Pittsburgh Penguins,2,Carolina Hurricanes,4,,18700,2:32,
2023-11-18,New York Islanders,5,Calgary Flames,4,SO,17167,2:36,
2023-11-18,Colorado Avalanche,6,Dallas Stars,3,,18532,2:28,
2023-11-18,St. Louis Blues,1,Los Angeles Kings,5,,18145,2:18,
2023-11-18,New York Rangers,5,New Jersey Devils,3,,17086,2:32,
2023-11-18,Chicago Blackhawks,2,Nashville Predators,4,,17397,2:27,
2023-11-18,Minnesota Wild,1,Ottawa Senators,2,SO,13213,2:38,at (Stockholm SE)
2023-11-18,Vegas Golden Knights,3,Philadelphia Flyers,4,OT,18113,2:35,
2023-11-18,Edmonton Oilers,4,Tampa Bay Lightning,6,,19092,2:33,
2023-11-18,Seattle Kraken,4,Vancouver Canucks,3,,18857,2:28,
2023-11-18,Arizona Coyotes,2,Winnipeg Jets,5,,12103,2:29,
2023-11-18,Columbus Blue Jackets,3,Washington Capitals,4,,18573,2:37,
2023-11-19,St. Louis Blues,3,Anaheim Ducks,1,,15243,2:24,
2023-11-19,Buffalo Sabres,3,Chicago Blackhawks,2,,19027,2:21,
2023-11-19,Toronto Maple Leafs,4,Minnesota Wild,3,OT,13356,2:38,at (Stockholm SE)
2023-11-19,Columbus Blue Jackets,2,Philadelphia Flyers,5,,17416,2:36,
2023-11-19,Vegas Golden Knights,0,Pittsburgh Penguins,3,,18120,2:30,
2023-11-20,Los Angeles Kings,4,Arizona Coyotes,1,,4600,2:27,
2023-11-20,New York Rangers,3,Dallas Stars,6,,18532,2:33,
2023-11-20,Edmonton Oilers,3,Florida Panthers,5,,19628,2:43,
2023-11-20,Colorado Avalanche,3,Nashville Predators,4,,17159,2:22,
2023-11-20,Calgary Flames,4,Seattle Kraken,3,OT,17151,2:33,
2023-11-20,Boston Bruins,4,Tampa Bay Lightning,5,OT,19092,2:42,
2023-11-20,San Jose Sharks,1,Vancouver Canucks,3,,18718,2:26,
2023-11-22,Montreal Canadiens,4,Anaheim Ducks,3,,15168,2:31,
2023-11-22,St. Louis Blues,6,Arizona Coyotes,5,,4600,2:33,
2023-11-22,Edmonton Oilers,3,Carolina Hurricanes,6,,18805,2:34,
2023-11-22,Chicago Blackhawks,3,Columbus Blue Jackets,7,,18158,2:21,
2023-11-22,Vancouver Canucks,2,Colorado Avalanche,5,,18133,2:32,
2023-11-22,Vegas Golden Knights,2,Dallas Stars,1,OT,18532,2:31,
2023-11-22,New Jersey Devils,0,Detroit Red Wings,4,,19515,2:17,
2023-11-22,Boston Bruins,3,Florida Panthers,1,,19327,2:28,
2023-11-22,Calgary Flames,2,Nashville Predators,4,,17252,2:38,
2023-11-22,Philadelphia Flyers,2,New York Islanders,3,,17255,2:30,
2023-11-22,New York Rangers,1,Pittsburgh Penguins,0,,18250,2:31,
2023-11-22,San Jose Sharks,1,Seattle Kraken,7,,17151,2:25,
2023-11-22,Winnipeg Jets,3,Tampa Bay Lightning,2,OT,19092,2:24,
2023-11-22,Buffalo Sabres,3,Washington Capitals,4,OT,18573,2:29,
2023-11-24,Los Angeles Kings,5,Anaheim Ducks,2,,17205,2:33,
2023-11-24,Detroit Red Wings,5,Boston Bruins,2,,17850,2:35,
2023-11-24,Pittsburgh Penguins,2,Buffalo Sabres,3,,19070,2:29,
2023-11-24,Tampa Bay Lightning,8,Carolina Hurricanes,2,,18802,2:34,
2023-11-24,Toronto Maple Leafs,3,Chicago Blackhawks,4,OT,20238,2:32,
2023-11-24,Calgary Flames,7,Dallas Stars,4,,18532,2:20,
2023-11-24,Winnipeg Jets,3,Florida Panthers,0,,18801,2:30,
2023-11-24,Colorado Avalanche,3,Minnesota Wild,2,,19057,2:23,
2023-11-24,Columbus Blue Jackets,2,New Jersey Devils,1,,16514,2:22,
2023-11-24,New York Islanders,5,Ottawa Senators,3,,17693,2:30,
2023-11-24,New York Rangers,3,Philadelphia Flyers,1,,19032,2:31,
2023-11-24,Vancouver Canucks,5,Seattle Kraken,1,,17151,2:31,
2023-11-24,Montreal Canadiens,3,San Jose Sharks,2,SO,16897,2:35,
2023-11-24,Nashville Predators,8,St. Louis Blues,3,,18096,2:26,
2023-11-24,Edmonton Oilers,5,Washington Capitals,0,,18573,2:31,
2023-11-25,Calgary Flames,1,Colorado Avalanche,3,,18139,2:30,
2023-11-25,Montreal Canadiens,0,Los Angeles Kings,4,,18145,2:24,
2023-11-25,Buffalo Sabres,2,New Jersey Devils,7,,16514,2:24,
2023-11-25,Philadelphia Flyers,1,New York Islanders,0,SO,17255,2:41,
2023-11-25,Boston Bruins,4,New York Rangers,7,,18006,2:41,
2023-11-25,Toronto Maple Leafs,2,Pittsburgh Penguins,3,,18229,2:27,
2023-11-25,Vancouver Canucks,3,San Jose Sharks,4,,15538,2:36,
2023-11-25,Arizona Coyotes,2,Vegas Golden Knights,0,,18591,2:26,
2023-11-26,Columbus Blue Jackets,2,Carolina Hurricanes,3,,18700,2:22,
2023-11-26,St. Louis Blues,4,Chicago Blackhawks,2,,18223,2:23,
2023-11-26,Minnesota Wild,1,Detroit Red Wings,4,,18833,2:31,
2023-11-26,Anaheim Ducks,2,Edmonton Oilers,8,,17781,2:28,
2023-11-26,Winnipeg Jets,2,Nashville Predators,3,,17159,2:33,
2023-11-27,Boston Bruins,2,Columbus Blue Jackets,5,,14357,2:30,
2023-11-27,Vegas Golden Knights,1,Calgary Flames,2,OT,17031,2:34,
2023-11-27,Tampa Bay Lightning,1,Colorado Avalanche,4,,18009,2:34,
2023-11-27,Buffalo Sabres,5,New York Rangers,1,,18006,2:21,
2023-11-27,Florida Panthers,5,Ottawa Senators,0,,15594,2:44,
2023-11-27,Washington Capitals,1,San Jose Sharks,2,,10759,2:31,
2023-11-28,Tampa Bay Lightning,1,Arizona Coyotes,3,,4600,2:20,
2023-11-28,Seattle Kraken,3,Chicago Blackhawks,4,,17070,2:34,
2023-11-28,Vegas Golden Knights,4,Edmonton Oilers,5,SO,18098,2:37,
2023-11-28,St. Louis Blues,1,Minnesota Wild,3,,17563,2:23,
2023-11-28,New York Islanders,4,New Jersey Devils,5,,16091,2:26,
2023-11-28,Pittsburgh Penguins,2,Nashville Predators,3,OT,17159,2:27,
2023-11-28,Carolina Hurricanes,4,Philadelphia Flyers,1,,17885,2:26,
2023-11-28,Florida Panthers,1,Toronto Maple Leafs,2,SO,18508,2:46,
2023-11-28,Anaheim Ducks,1,Vancouver Canucks,3,,18639,2:21,
2023-11-28,Dallas Stars,2,Winnipeg Jets,0,,11439,2:21,
2023-11-29,Montreal Canadiens,4,Columbus Blue Jackets,2,,14316,2:12,
2023-11-29,Washington Capitals,2,Los Angeles Kings,1,,18145,2:23,
2023-11-29,Detroit Red Wings,2,New York Rangers,3,,18006,2:34,
2023-11-30,Washington Capitals,5,Anaheim Ducks,4,,14336,2:35,
2023-11-30,Colorado Avalanche,3,Arizona Coyotes,4,OT,4600,2:30,
2023-11-30,San Jose Sharks,0,Boston Bruins,3,,17850,2:32,
2023-11-30,New York Islanders,5,Carolina Hurricanes,4,OT,18700,2:43,
2023-11-30,Dallas Stars,3,Calgary Flames,4,OT,16941,2:29,
2023-11-30,Chicago Blackhawks,1,Detroit Red Wings,5,,19515,2:21,
2023-11-30,Florida Panthers,5,Montreal Canadiens,1,,21105,2:31,
2023-11-30,Minnesota Wild,6,Nashville Predators,1,,17159,2:38,
2023-11-30,New Jersey Devils,4,Philadelphia Flyers,3,OT,17748,2:40,
2023-11-30,Buffalo Sabres,4,St. Louis Blues,6,,18096,2:27,
